ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard
2389,64,39,23,91768,3,0.5,1,0,1,0,0,0
2374,33,9,184,94304,2,4.8,2,0,0,0,0,0
4348,58,33,22,90024,3,0.2,1,0,0,0,1,0
666,54,24,61,92866,4,2.0,3,0,1,0,1,0
4183,55,29,49,92691,2,0.8,3,220,0,0,0,1
4517,58,32,12,95929,4,0.7,3,0,0,0,1,0
4842,59,35,40,92870,4,0.4,1,135,0,0,1,0
3971,65,40,71,95060,3,2.2,1,0,0,0,0,1
990,42,16,64,94607,3,0.5,3,247,0,0,0,0
4480,32,8,128,93117,2,4.33,1,0,0,0,1,0
2670,43,18,10,91902,2,0.1,2,0,1,0,0,1
971,57,32,75,94928,2,3.7,1,236,0,0,1,0
3828,39,14,128,93943,2,3.9,1,196,0,0,1,0
3527,58,33,9,95008,2,0.2,3,0,0,0,1,0
657,37,11,81,94539,1,2.8,3,145,0,0,0,0
427,42,18,75,92182,3,2.33,1,0,0,0,0,1
3674,34,9,65,95134,4,1.3,1,0,0,0,0,1
1920,38,13,19,92069,2,1.4,2,120,0,0,0,1
4395,57,31,25,94523,2,0.7,2,103,0,0,0,0
1024,45,20,109,94117,1,7.0,1,366,0,0,1,0
177,52,25,44,93111,3,1.0,2,135,0,0,1,0
3138,61,36,13,91711,3,0.5,1,0,0,0,1,0
3311,53,29,95,94720,4,1.0,2,0,0,0,1,1
141,51,25,31,90245,2,0.4,3,161,0,0,1,1
4569,26,0,44,94305,4,1.3,3,0,1,0,0,0
581,52,22,22,90049,4,0.4,3,0,0,0,1,1
457,64,39,42,92068,3,0.5,2,116,0,0,1,0
2334,45,21,61,95812,3,0.7,1,0,1,1,1,1
3542,45,20,144,92106,4,5.4,1,210,0,0,1,0
622,41,17,114,91125,2,1.8,2,0,0,0,1,0
2715,46,20,158,92870,3,5.4,1,432,0,0,0,1
3439,43,17,72,94806,1,2.8,1,271,0,0,1,0
3973,29,5,112,94998,2,4.33,1,0,0,0,1,1
3115,29,4,55,90024,4,2.0,2,0,1,0,1,0
2320,34,9,198,95819,2,3.0,1,422,0,0,1,0
3294,44,20,62,94939,2,2.5,1,0,1,0,1,0
1872,31,5,99,94065,4,1.8,2,268,0,0,0,0
4651,47,23,63,95521,1,0.8,3,0,0,0,1,0
671,23,-1,61,92374,4,2.6,1,239,0,0,1,0
2672,62,37,128,92093,1,2.5,1,0,0,0,0,0
1473,34,8,8,94710,3,0.1,2,83,0,0,1,0
2166,27,0,38,95929,4,1.0,3,154,0,0,1,0
4101,27,2,41,90254,2,1.7,2,0,0,0,1,0
221,32,6,25,92130,2,0.3,1,0,0,0,0,1
133,31,1,51,90840,2,1.75,3,0,0,0,0,0
60,31,5,188,91320,2,4.5,1,455,0,0,0,0
3261,55,30,84,95821,2,0.0,3,0,0,0,0,0
4692,41,17,65,90024,3,2.1,3,0,0,0,1,0
2227,25,1,98,90717,1,5.4,1,0,0,0,1,0
1030,41,17,20,94720,1,1.4,3,0,0,0,1,0
2469,49,23,133,94304,1,7.3,1,0,0,0,1,1
3185,39,15,141,92354,2,8.0,1,0,0,0,1,0
227,24,-1,39,94085,2,1.7,2,0,0,0,0,0
2021,59,34,33,94303,3,0.2,1,0,1,0,0,0
3288,39,13,32,90747,2,0.8,3,0,0,0,1,0
3266,40,14,61,94612,3,0.5,3,0,0,0,1,0
2560,36,12,88,90212,2,2.7,1,0,0,0,1,0
2753,51,25,34,95819,3,0.9,3,111,0,0,1,0
3561,31,5,65,94591,4,2.2,2,126,0,0,1,0
3502,65,39,105,91380,4,1.7,3,0,1,0,1,0
3829,31,6,44,95616,4,0.8,1,122,0,0,1,0
3989,59,35,85,91330,1,3.4,3,0,0,1,0,1
4472,56,30,79,94588,3,0.8,1,302,0,0,0,0
4679,33,7,115,93305,1,2.7,2,283,0,0,1,0
3204,44,20,119,92677,2,7.5,1,239,0,0,1,0
3258,59,35,84,92407,1,1.8,3,0,0,0,1,0
731,43,18,140,95616,1,7.0,1,205,0,0,1,0
4080,65,40,75,90036,3,2.2,1,0,0,0,1,0
2206,63,37,101,95819,2,2.8,1,0,0,0,0,0
1300,50,25,14,95762,2,0.7,3,0,1,0,1,0
3629,42,18,131,94949,1,3.4,1,0,0,0,0,1
1481,67,42,32,93943,1,1.1,3,0,0,0,0,1
595,50,26,85,94143,1,0.0,1,144,0,0,0,0
3654,52,27,32,92521,2,2.0,2,0,0,0,0,1
218,39,14,74,94305,3,3.0,1,0,0,0,0,0
991,34,10,81,94002,4,3.4,1,0,0,0,1,0
4940,54,29,70,92093,3,2.0,2,116,0,0,1,1
2983,59,33,111,95120,3,4.4,1,0,0,0,1,0
1875,37,11,82,95819,3,0.9,2,218,0,0,1,1
2053,28,3,120,94080,1,0.8,1,170,0,0,0,0
3247,41,17,81,95422,1,0.8,2,223,0,0,1,0
2105,40,14,58,90245,4,0.2,3,0,0,0,1,0
